Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,Bestbench(kg)
M,Raw,25.0,88.81,215.0,255.0,137.5
M,Raw,20.5,117.95,207.5,210.0,110.0
M,Raw,21.0,73.98,192.5,222.5,115.0
F,Raw,17.5,46.0,62.5,105.0,42.5
F,Raw,28.0,48.0,92.5,137.5,47.5
M,Wraps,23.0,103.69,190.0,202.5,125.0
M,Raw,45.0,138.05,195.0,240.0,190.0
M,Single-ply,32.0,119.16,295.0,275.0,195.0
F,Raw,28.5,51.96,112.5,132.5,50.0
M,Raw,33.0,87.36,185.0,215.0,145.0
F,Raw,23.5,59.1,107.5,117.5,50.0
M,Raw,27.0,99.61,272.5,320.0,192.5
F,Wraps,33.0,81.75,147.5,180.0,70.0
M,Raw,31.0,87.8,150.0,192.5,117.5
M,Raw,28.0,82.5,260.0,285.0,170.0
M,Wraps,51.0,73.1,160.0,175.0,85.0
M,Raw,55.0,89.58,190.0,210.0,120.0
M,Raw,36.0,80.2,167.5,227.5,122.5
M,Raw,54.0,73.32,180.0,190.0,130.0
F,Raw,26.0,107.7,117.5,125.0,70.0
M,Raw,41.5,92.52,170.0,200.0,120.0
F,Raw,36.0,58.4,77.5,107.5,57.5
M,Raw,27.0,81.6,192.5,245.0,145.0
M,Raw,30.0,98.7,257.5,280.0,175.0
F,Wraps,30.0,67.4,192.5,202.5,112.5
M,Wraps,25.0,80.6,195.0,252.5,135.0
F,Wraps,23.0,68.8,125.0,170.0,60.0
M,Raw,21.0,80.42,215.0,230.0,132.5
M,Raw,28.0,136.7,270.0,285.0,180.0
M,Single-ply,27.5,64.93,267.5,260.0,160.0
M,Raw,24.0,75.0,175.0,182.5,125.0
F,Raw,28.5,78.5,130.0,155.0,62.5
F,Wraps,46.0,73.75,155.0,147.5,95.0
M,Raw,17.0,67.35,95.0,145.0,77.5
M,Raw,18.5,100.52,190.0,220.0,120.0
F,Raw,36.5,80.6,135.0,175.0,82.5
M,Raw,55.0,109.7,242.5,300.0,167.5
M,Raw,30.5,115.34,272.5,297.5,205.0
M,Raw,24.0,70.1,155.0,192.5,105.0
M,Raw,32.0,79.0,212.5,242.5,135.0
M,Raw,21.0,84.25,150.0,200.0,105.0
F,Wraps,28.0,96.34,100.0,145.0,50.0
F,Raw,18.0,57.5,87.5,110.0,50.0
M,Raw,37.0,120.2,250.0,300.0,197.5
M,Single-ply,17.0,90.0,142.88,156.49,74.84
M,Single-ply,48.0,87.63,277.5,255.0,220.0
F,Raw,17.5,56.3,102.5,117.5,47.5
M,Wraps,37.0,85.0,220.0,220.0,140.0
M,Wraps,14.0,69.2,140.0,135.0,70.0
M,Raw,31.5,86.8,122.5,182.5,117.5
F,Raw,34.5,80.0,127.5,142.5,55.0
M,Wraps,17.0,88.54,115.67,147.42,52.16
M,Raw,37.0,109.9,242.5,275.0,172.5
M,Wraps,46.0,89.81,163.29,185.97,127.01
M,Single-ply,45.0,99.52,195.0,220.0,135.0
M,Raw,20.5,91.7,132.5,182.5,107.5
M,Single-ply,22.0,88.4,250.0,227.5,147.5
M,Wraps,15.0,89.4,197.5,200.0,122.5
M,Raw,24.5,80.45,155.0,175.0,90.0
F,Wraps,16.0,47.45,74.84,92.99,43.09
M,Wraps,26.0,108.6,242.5,282.5,167.5
M,Raw,17.5,81.15,185.0,215.0,125.0
F,Raw,33.0,79.75,142.5,150.0,92.5
F,Wraps,26.0,67.5,135.0,145.0,60.0
M,Raw,28.5,105.0,192.5,240.0,25.0
M,Raw,25.5,118.85,322.5,340.0,190.0
F,Raw,18.0,48.0,105.0,157.5,82.5
M,Raw,45.0,107.6,225.0,292.5,155.0
M,Raw,29.5,100.36,182.5,192.5,125.0
F,Raw,25.0,51.0,92.5,135.0,52.5
F,Raw,22.5,69.3,130.0,197.5,52.5
F,Wraps,26.0,58.65,122.5,132.5,67.5
F,Raw,26.0,58.5,95.0,147.5,52.5
F,Single-ply,13.5,46.7,95.0,97.5,50.0
F,Raw,36.0,85.5,147.0,172.5,80.0
M,Wraps,54.0,96.62,220.0,250.0,137.5
M,Wraps,41.0,82.3,190.0,195.0,117.5
M,Raw,21.5,81.5,182.5,220.0,120.0
F,Raw,26.0,87.8,185.0,185.0,87.5
M,Raw,19.0,88.5,227.5,242.5,125.0
M,Raw,23.5,65.7,160.0,215.0,107.5
F,Raw,18.5,51.6,107.5,120.0,55.0
F,Wraps,17.0,56.0,92.5,82.5,47.5
F,Wraps,31.0,66.0,190.0,212.5,120.0
F,Wraps,24.0,47.4,110.0,125.0,67.5
M,Raw,23.5,81.75,212.5,240.0,160.0
F,Raw,19.5,74.0,140.0,170.0,77.5
M,Raw,23.5,97.55,220.0,240.0,180.0
M,Raw,41.0,108.41,227.5,255.0,177.5
M,Raw,26.0,108.9,205.0,247.5,167.5
M,Raw,20.0,81.83,215.0,212.5,165.0
M,Raw,25.0,88.63,215.0,260.0,130.0
M,Wraps,37.0,66.8,180.0,172.5,125.0
M,Raw,35.0,72.62,152.5,210.0,125.0
M,Raw,25.0,95.4,210.0,230.0,105.0
F,Raw,28.0,73.84,120.0,162.5,57.5
F,Multi-ply,53.0,72.6,215.0,207.5,100.0
F,Wraps,31.0,60.0,120.0,162.5,67.5
M,Wraps,24.0,74.21,155.0,185.0,117.5
M,Raw,24.0,88.7,215.0,220.0,147.5
M,Raw,21.0,87.6,220.0,257.5,122.5
M,Raw,29.0,130.5,265.0,320.0,215.0
M,Raw,19.5,61.9,117.5,152.5,62.5
M,Single-ply,23.0,66.0,150.0,182.5,120.0
M,Wraps,35.0,93.17,212.5,215.0,135.0
M,Raw,39.0,121.7,300.0,277.5,212.5
M,Multi-ply,21.0,116.75,295.0,295.0,205.0
F,Raw,30.0,71.0,105.0,127.5,67.5
F,Raw,25.0,55.6,100.0,125.0,60.0
M,Wraps,19.0,74.84,187.5,230.0,120.0
M,Raw,23.5,91.2,227.5,242.5,167.5
M,Raw,49.5,99.4,145.0,142.5,142.5
M,Wraps,23.0,74.8,192.5,242.5,137.5
F,Wraps,16.0,98.25,81.65,122.47,54.43
M,Raw,16.5,64.6,82.5,122.5,60.0
M,Raw,22.5,90.55,162.5,200.0,107.5
F,Raw,37.5,55.86,120.0,162.5,70.0
F,Raw,27.0,79.4,112.5,135.0,50.0
F,Raw,24.0,55.1,132.5,157.5,67.5
F,Raw,47.5,71.25,102.5,117.5,55.0
M,Raw,19.5,52.44,135.0,172.5,95.0
M,Raw,15.5,72.7,85.0,122.5,60.0
F,Wraps,19.0,56.06,65.77,113.4,47.63
M,Raw,19.0,58.9,170.0,210.0,115.0
F,Raw,22.0,106.6,112.5,115.0,85.0
F,Raw,29.0,61.7,135.0,155.0,67.5
F,Raw,30.0,65.8,95.0,140.0,60.0
F,Raw,17.0,72.85,127.5,137.5,77.5
M,Raw,23.0,82.9,185.0,222.5,128.0
F,Raw,16.5,78.7,115.0,142.5,55.0
M,Wraps,21.0,89.0,272.5,290.0,155.0
F,Wraps,48.0,79.29,165.0,192.5,106.5
M,Raw,23.0,74.48,165.0,200.0,105.0
F,Wraps,18.0,69.75,110.0,100.0,37.5
M,Multi-ply,23.0,74.6,300.0,240.0,185.0
M,Wraps,50.0,121.8,182.5,150.0,127.5
F,Raw,48.5,61.62,135.0,145.0,85.0
F,Raw,19.5,71.3,122.5,137.5,60.0
M,Raw,42.0,117.45,205.0,240.0,150.0
M,Single-ply,25.0,73.68,252.5,235.0,160.0
M,Raw,25.0,95.3,212.5,265.0,145.0
M,Raw,29.0,76.6,137.5,182.5,112.5
F,Single-ply,48.5,47.0,125.0,130.0,75.0
M,Wraps,24.0,118.39,350.0,307.5,215.0
F,Wraps,24.0,66.22,110.0,132.5,55.0
F,Raw,38.0,71.7,70.0,110.0,52.5
M,Multi-ply,25.0,106.59,272.5,252.5,247.5
M,Raw,26.0,97.61,270.0,265.0,167.5
M,Wraps,23.0,119.2,312.5,307.5,210.0
F,Raw,34.5,87.6,172.5,182.5,65.0
F,Raw,28.0,66.7,110.0,137.5,65.0
M,Raw,25.0,59.8,175.0,222.5,125.0
F,Raw,27.5,73.5,115.0,155.0,72.5
F,Raw,27.0,64.5,132.5,142.5,60.0
M,Wraps,39.0,108.4,180.0,245.0,122.5
F,Raw,21.0,54.9,97.5,110.0,62.5
F,Wraps,30.0,71.7,132.5,147.5,50.0
M,Wraps,34.0,97.8,260.0,265.0,152.5
F,Raw,38.0,109.4,152.5,180.0,87.5
M,Wraps,22.0,100.0,260.0,320.0,192.5
M,Wraps,27.0,122.38,242.5,260.0,165.0
M,Single-ply,31.0,110.32,300.0,282.5,232.5
F,Wraps,25.0,67.22,106.59,102.06,40.82
F,Single-ply,39.5,51.71,155.0,155.0,82.5
F,Wraps,25.0,73.8,155.0,160.0,75.0
F,Raw,29.5,68.25,115.0,150.0,62.5
F,Multi-ply,44.0,89.8,250.0,185.0,165.0
F,Raw,20.5,62.6,105.0,130.0,55.0
M,Raw,23.0,90.6,180.0,240.0,170.0
M,Single-ply,24.5,64.5,100.0,130.0,105.0
M,Wraps,29.0,124.5,230.0,260.0,180.0
M,Wraps,46.0,104.51,227.5,300.0,142.5
M,Raw,23.0,90.0,235.0,285.0,142.5
M,Wraps,22.0,108.8,285.0,313.0,150.0
M,Wraps,55.0,109.7,220.0,222.5,160.0
F,Single-ply,18.5,77.5,127.5,137.5,75.0
M,Raw,47.5,90.8,157.5,195.0,130.0
F,Wraps,33.0,64.9,137.5,165.0,80.0
M,Raw,22.0,84.7,172.5,267.5,125.0
M,Raw,11.5,34.6,60.0,80.0,30.0
F,Single-ply,15.5,81.74,129.3,138.4,49.9
F,Wraps,46.0,78.2,63.5,95.25,40.82
F,Raw,20.5,59.6,63.5,79.4,38.6
F,Raw,28.0,52.0,92.5,107.5,47.5
F,Raw,30.5,76.03,175.0,170.0,105.0
M,Raw,20.5,65.2,177.5,205.0,127.5
M,Raw,36.0,99.97,170.0,215.0,115.0
M,Raw,18.0,58.42,100.0,137.5,95.0
F,Raw,22.0,59.9,125.0,170.0,65.0
M,Wraps,48.0,122.5,195.0,195.0,182.5
M,Raw,19.0,98.7,232.5,265.0,142.5
F,Raw,33.0,65.8,132.5,145.0,60.0
M,Raw,22.0,95.1,240.0,287.5,165.0
M,Raw,35.0,83.45,172.5,265.0,145.0
M,Raw,19.5,71.8,167.5,210.0,132.5
F,Wraps,29.0,55.79,80.0,137.5,60.0
F,Raw,30.0,73.3,115.0,155.0,82.5
M,Wraps,19.0,99.06,255.0,247.5,145.0
M,Raw,19.0,65.45,160.0,205.0,107.5
F,Raw,25.5,92.0,112.5,140.0,45.0
M,Raw,22.0,67.59,200.0,212.5,102.5
M,Raw,28.0,80.8,275.0,252.5,185.0
M,Raw,21.5,104.5,182.5,230.0,120.0
M,Raw,31.5,79.4,150.0,200.0,97.5
M,Raw,22.5,62.8,125.0,125.0,102.5
M,Raw,27.5,119.72,327.5,270.0,230.0
M,Raw,19.5,90.3,190.0,245.0,130.0
F,Raw,25.0,87.5,92.5,122.5,50.0
M,Raw,26.0,73.2,150.0,205.0,110.0
M,Raw,16.5,82.6,210.0,240.0,110.0
M,Raw,25.0,95.62,237.5,275.0,192.5
M,Wraps,37.0,72.5,182.5,200.0,120.0
M,Raw,17.5,68.8,142.5,177.5,85.0
M,Single-ply,31.0,85.46,252.5,275.0,170.0
M,Raw,18.5,82.3,142.5,175.0,120.0
M,Raw,44.5,73.44,200.0,220.0,135.0
M,Single-ply,15.5,58.53,175.0,195.0,95.0
F,Raw,39.0,50.6,162.5,190.0,92.5
M,Raw,17.0,70.31,127.5,152.5,115.0
F,Raw,28.0,70.9,147.5,205.0,102.5
F,Raw,31.0,80.95,142.5,177.5,92.5
F,Raw,18.5,62.15,140.0,135.0,85.0
F,Raw,29.0,74.1,90.0,117.5,47.5
M,Single-ply,15.5,95.3,182.5,180.0,102.5
M,Raw,15.0,67.5,129.27,149.69,90.72
F,Raw,26.5,53.4,65.0,110.0,45.0
F,Raw,37.0,56.0,112.5,137.5,70.0
M,Single-ply,44.0,105.69,185.0,195.0,150.0
M,Raw,22.0,62.32,102.5,150.0,105.0
M,Single-ply,34.5,97.07,185.0,207.5,140.0
M,Wraps,30.0,105.8,200.0,240.0,165.0
M,Raw,22.0,90.0,152.5,215.0,102.5
M,Single-ply,18.5,100.4,230.0,230.0,142.5
M,Raw,33.5,109.5,242.5,262.5,165.0
F,Wraps,52.0,73.94,104.33,115.67,61.23
M,Raw,27.5,81.1,197.5,227.5,140.0
M,Wraps,22.0,81.1,230.0,240.0,137.5
M,Raw,25.5,82.8,240.0,257.5,147.5
M,Raw,28.0,136.5,250.0,272.5,170.0
M,Raw,17.0,66.7,177.5,182.5,95.0
F,Raw,30.5,54.65,95.0,135.0,62.5
M,Raw,20.0,88.5,210.0,212.5,150.0
M,Multi-ply,15.0,114.58,215.0,227.5,192.5
F,Raw,11.5,45.6,36.3,45.4,22.7
F,Raw,13.5,71.8,112.5,125.0,50.0
M,Raw,21.5,104.05,240.0,250.0,167.5
F,Raw,42.5,61.87,150.0,160.0,82.5
M,Wraps,23.0,99.3,267.5,300.0,215.0
M,Wraps,24.0,121.11,263.08,283.5,167.83
F,Multi-ply,40.0,51.8,140.0,130.0,107.5
M,Raw,17.0,80.8,185.0,207.5,112.5
F,Raw,47.5,62.23,107.5,140.0,67.5
M,Raw,24.0,120.7,280.0,300.0,205.0
M,Single-ply,39.5,82.7,270.0,300.0,187.5
M,Raw,19.0,81.83,145.0,197.5,87.5
M,Single-ply,39.5,73.54,230.0,255.0,165.0
M,Raw,23.5,81.31,220.0,212.5,162.5
M,Raw,20.0,68.8,155.0,182.5,115.0
M,Wraps,26.0,109.13,272.5,290.0,227.5
M,Raw,23.0,97.5,235.0,247.5,160.0
M,Raw,39.5,91.44,232.5,260.0,192.5
M,Raw,19.0,85.5,205.0,225.0,135.0
M,Raw,18.0,75.0,185.0,200.0,110.0
M,Single-ply,43.0,81.8,120.0,137.5,142.5
M,Raw,22.0,88.9,222.5,257.5,165.0
F,Raw,41.0,64.0,107.5,122.5,62.5
M,Raw,15.5,58.05,140.0,180.0,90.0
M,Wraps,27.0,116.85,294.84,272.16,192.78
M,Raw,29.0,85.0,147.5,185.0,105.0
M,Single-ply,11.5,68.9,57.5,97.5,42.5
M,Raw,42.5,91.9,170.0,220.0,120.0
M,Raw,44.5,65.6,185.0,250.0,107.5
M,Raw,38.0,100.43,205.0,252.5,172.5
M,Wraps,30.0,89.3,295.0,305.0,177.5
M,Raw,32.0,89.27,240.0,302.5,145.0
M,Single-ply,26.5,100.3,93.0,102.1,52.2
M,Raw,20.5,104.6,215.0,245.0,152.5
M,Raw,26.0,79.9,227.5,267.5,147.5
M,Raw,26.5,82.0,267.5,272.5,175.0
M,Wraps,25.0,96.25,235.0,250.0,160.0
M,Raw,29.0,89.3,197.5,210.0,127.5
F,Raw,33.0,82.19,95.0,120.0,62.5
M,Raw,30.0,96.3,197.5,270.0,205.0
M,Wraps,29.0,88.8,210.0,225.0,147.5
M,Raw,19.0,89.5,155.0,195.0,132.5
F,Raw,23.5,50.9,87.5,110.0,55.0
F,Raw,29.5,80.5,107.5,125.0,52.5
M,Single-ply,27.5,58.75,240.0,245.0,152.5
M,Raw,23.5,80.6,172.5,190.0,132.5
M,Single-ply,26.5,82.0,297.5,270.0,227.5
M,Raw,17.5,57.86,137.5,172.5,87.5
M,Wraps,19.0,74.62,182.5,200.0,107.5
F,Single-ply,21.5,51.54,177.5,162.5,92.5
M,Raw,39.0,137.8,230.0,230.0,152.5
M,Wraps,34.0,109.6,305.0,320.0,200.0
M,Wraps,38.0,137.2,350.0,335.0,225.0
M,Single-ply,17.0,92.4,285.0,240.0,182.5
M,Single-ply,25.5,103.76,335.0,302.5,240.0
M,Raw,33.5,101.2,182.5,215.0,112.5
F,Raw,21.5,71.5,125.0,147.5,95.0
M,Single-ply,39.5,109.3,125.0,200.0,150.0
F,Raw,54.0,57.42,77.5,95.5,47.5
F,Single-ply,15.5,43.82,63.5,72.6,27.2
M,Raw,40.0,124.0,205.0,205.0,155.0
M,Wraps,22.0,87.75,195.0,227.5,142.5
F,Raw,28.5,75.3,77.5,87.5,52.5
F,Raw,20.5,61.1,97.5,125.0,55.0
M,Single-ply,22.0,63.6,95.0,115.0,67.5
M,Raw,31.0,120.7,142.5,227.5,95.0
F,Single-ply,16.5,55.1,127.5,120.0,55.0
M,Raw,23.0,108.7,207.5,262.5,160.0
F,Raw,17.0,81.8,120.0,160.0,52.5
F,Raw,30.5,61.5,97.5,115.0,52.5
